ProjectID,ProjectName,ShortName,Country,State,Region,City,County,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LatitudeDirection,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LongitudeDirection,Technology,Status,StatusDate,PPADateMonth,PPADateDay,PPADateYear,FeedInTariffType,TariffRate,TariffRateUnit,TariffYears,TariffInfo,BreakGroundMonth,BreakGroundDay,BreakGroundYear,ProductionStartMonth,ProductionStartDay,ProductionStartYear,SiteSolarResource,SiteSolarResourceDataSource,ProjectType,Cost,CostCurrency,CostInfoSource,ElectricityGeneration,ElectricityGenerationBasis,ElectricityGenerationExplanation,ContactCompany,ContactWebSite,Contact1,Contact1Email,ContactCompany2,ContactWebSite2,Contact2,Contact2Email,ConstructionJobYears,AnnualOperationsJobs,Developer1,Developer2,Operator1,Operator2,EPCContractor,EPCContractorTask,LandArea,LandAreaUnits,DriveManufacturer1,DriveManufacturer2,HeatTransferFluidType,HeatTransferFluidCompany,GrossTurbineCapacity,NetCapacity,OtherTurbineCapacity,CapacityUnit,TurbineThermodynamicCycleType,PowerCyclePressure,PowerCyclePressureUnits,TurbineSupplier,TurbineSupplierCountry,CoolingMethod,CoolingMethodDescription,TurbineEfficiency,DesignPointSolarElectricEfficiency,DesignPointConditions,AnnualSolarElectricEfficiency,BackupType,BackupPercent,StorageType,StorageCapacity,StorageCapacityUnit,StorageDescription,LongDescription,Photo,AltText,Caption,Credit,PublishStatus,DraftID,Deleted
29,Solar Electric Generating Station++2++ II,SEGS II,US,CA,Mojave Desert,Daggett,San Bernardino,34,51,47,North,116,49,37,West,Parabolic trough,Operational,2013-12-03 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,,NULL,1985,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,Cogentrix,,Phillip Jones,PhilJones@cogentrix.com,,,,,NULL,NULL,Luz,,Cogentrix,,,,NULL,,,,,,33,30,,MW,NULL,40,bar,,,,,29.4,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station II, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS II is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_2.jpg,Photo with an aerial perspective looking perpendicular to numerous rows of parabolic troughs. In the far distance is the silhouette of mountains.,,,Published,0,NULL
30,Solar Electric Generating Station++3++ III,SEGS III,US,CA,Mojave Desert,Kramer Junction,San Bernardino,35,0,51,North,117,33,32,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,December,31,1985,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,33,30,,MW,NULL,40,bar,,,,,30.6,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station III, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS III is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_3_11070.jpg,"Photo with low aerial perspective of parabolic troughs focusing on the sun at a high angle overhead. The tubes making up the heat-collection element along the focal line of each trough are prominent. Two men wearing hard hats are standing near the edge of one trough, with the edge just above the height of their heads.",,,published,0,NULL
31,Solar Electric Generating Station++4++ IV,SEGS IV,US,CA,Mojave Desert,Kramer Junction,San Bernardino,35,0,51,North,117,33,32,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,February,1,1989,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,33,30,,MW,NULL,40,bar,,,,,30.6,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station IV, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS IV is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_4_14955.jpg,Photo from a low aerial perspective of rows of parabolic troughs separated by a couple of access roads. A power plant is located in the middle of this trough field; especially prominent is a low cooling tower that is venting steam and two taller cylindrical storage tanks in the background.,,,published,0,NULL
32,Solar Electric Generating Station++5++ V,SEGS V,US,CA,Mojave Desert,Kramer Junction,San Bernardino,35,0,51,North,117,33,32,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,February,1,1989,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,33,30,,MW,NULL,40,bar,,,,,30.6,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station V, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS V is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_5_14953.jpg,"Photo of the main portion of a steam turbine being hoisted by a block-and-tackle system onto the flatbed of a truck, in front of rows of parabolic troughs. Four men in hard hats are supervising the operation.",,,Published,0,NULL
33,Solar Electric Generating Station++6++ VI,SEGS VI,US,CA,Mojave Desert,Kramer Junction,San Bernardino,35,0,51,North,117,33,32,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,February,1,1989,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,35,30,,MW,NULL,100,bar,,,,,37.5,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station VI, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VI is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_6_01223.jpg,"Photo with an aerial perspective looking perpendicular to numerous rows of parabolic troughs. The sun is glinting off some of the mirrors, highlighting some of the tubes of the heat-collection elements within the trough system.",,,Published,0,NULL
34,Solar Electric Generating Station++7++ VII,SEGS VII,US,CA,Mojave Desert,Kramer Junction,San Bernardino,35,0,51,North,117,33,32,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,February,1,1989,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,35,30,,MW,NULL,100,bar,,,,,37.5,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station VII, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VII is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.",photo_segs_7_00033.jpg,Photo from low aerial perspective down the length of parabolic troughs. The tubes making up the heat-collection element along the focal line of each trough are visible. The troughs are casting shadows on the ground below. The power plant in seen in the right background; with the low cooling towers especially prominent.,,,Published,0,NULL
35,Solar Electric Generating Station++8++ VIII,SEGS VIII,US,CA,Mojave Desert,Harper Dry Lake,San Bernardino,35,1,54,North,117,20,53,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,December,1,1989,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,89,80,,MW,NULL,100,bar,,,,,37.6,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station VIII, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VIII is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.  SEGS VIII is the largest individual trough plant (along with SEGS IX).",photo_segs_8.jpg,Photo of the backside of rows of parabolic troughs. Fourteen metal frames hold the curved mirrors to form an entire trough; vertical supports are positioned on the ends of each trough. The troughs cast shadows on the ground below.,,,Published,0,NULL
36,Solar Electric Generating Station++9++ IX,SEGS IX,US,CA,Mojave Desert,Harper Dry Lake,San Bernardino,35,1,54,North,117,20,53,West,Parabolic trough,Operational,2015-10-01 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,NULL,October,1,1990,2725,National Solar Resource Data Base,"PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison",NULL,,,NULL,,,NextEra Energy,,Lauren Romero,Lauren.Romero@nee.com,,,,,NULL,NULL,Luz,,NextEra,,,,NULL,,,,Therminol,,89,80,,MW,NULL,100,bar,,,,,37.6,NULL,,NULL,Natural gas,NULL,,NULL,,,"This page provides information on Solar Electric Generating Station IX, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS IX is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.  SEGS IX is the largest individual trough plant (along with SEGS VIII).",photo_segs_9_09113.jpg,Photo in black and white at low aerial perspective that shows portions of several large parabolic troughs. Images of the tubes of the heat-collection elements and their supports are reflected into the trough mirrors. A man with a hard hat is looking up at a trough as he stands at the end of one row.,,,Published,0,NULL
37,Kimberlina Solar Thermal Power Plant,Kimberlina,US,CA,,Bakersfield,Kern,35,34,0,North,119,11,39.1,West,Linear Fresnel reflector,Currently Non-Operational,2017-01-12 00:00:00.000,,NULL,NULL,,NULL,,,,March,NULL,2008,October,NULL,2008,NULL,,Demonstration,NULL,,,NULL,,,,,Bill Conlon,bill.conlon@ausra.com,,,Katherine Potter,kpotter@ausra.com,NULL,NULL,Ausra,,Ausra,,,,12,acres,Ausra,,Water,,5,5,,MW,Steam Rankine,40,bar,,,,,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on Kimberlina, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Kimberlina is the first Compact Linear Fresnel Reflector (CLFR) project in North America.  Located in Bakersfield, CA, Ausra began construction of the power plant in March 2008, with the plant entering operation in October 2008.  Kimberlina generates up to 5 megawatts of electricity at full output to help meet California’s peak summer demand.",,,,,Published,0,NULL
38,Planta Solar 10,PS10,ES,  ,Sanlúcar la Mayor,Sevilla,,37,26,30.97,North,6,14,59.98,West,Power tower,Operational,2017-03-20 00:00:00.000,January,17,2005,Royal Decree 661/2007,27.1188,Euro cents per kWh,25,Total Price = Pool + Tariff Rate,,NULL,2005,June,25,2007,2012,Abengoa Solar,Commercial plant,NULL,Euro,,23400,Expected/Planned,Gross generation,Abengoa Solar,http://www.abengoasolar.com,Luis Rejano,luis.rejano@abengoa.com,,,,,NULL,NULL,Abengoa Solar,,Abengoa Solar,,Abener Energía,,55,hectares,,,Water,,11.02,11,,MW,NULL,45,bar,,,Wet cooling,Refrigeration towers,NULL,NULL,,NULL,,NULL,Other,1,hour(s),,"This page provides information on Planta Solar 10, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Abengoa Solar's Planta Solar 10 is the first solar central-receiver system producing grid-connected electricity under a purely commercial approach. PS10's technologies—including glass-metal heliostats, pressurized-water thermal storage system, and saturated-steam receiver and turbine—were previously tested and qualified at the Plataforma Solar de Almería facility. This testing helped to avoid technological uncertainties and allowed the project to focus on scaling up, integrating subsystems, demonstrating dispatchability, and reducing O&M costs. The plant's thermal storage system has a 50-minute capacity at 50% load to handle cloud transients. The tower was designed to reduce visual impact—its relatively narrow body includes a large open space to give a lightweight sense.",photo_ps-10.jpg,"Photo taken from the air that shows a tall tower toward the left rising above a flat field. In front of the tower on the field is an oval-shaped area containing rows of flat mirrors that are approximately concentric to the tower. The mirrors are oriented horizontal to the ground, but when in operation, they will be oriented to focus the sun onto the top of the tower.",,Abengoa Solar,Published,0,NULL
39,Planta Solar 20,PS20,ES,  ,Sanlúcar la Mayor,Sevilla,,37,26,30.97,North,6,14,59.98,West,Power tower,Operational,2017-03-20 00:00:00.000,January,17,2005,Royal Decree 661/2007,27.1188,Euro cents per kWh,25,Total Price = Pool + Tariff Rate,,NULL,2006,April,22,2009,2012,Abengoa Solar,Commercial plant,NULL,Euro,,48000,Expected/Planned,Gross generation,Abengoa Solar,http://www.abengoasolar.com,Luis Rejano,luis.rejano@abengoa.com,,,,,NULL,NULL,Abengoa Solar,,Abengoa Solar,,Abener Energía,,80,hectares,,,Water,,20,20,,MW,NULL,45,bar,,,Wet cooling,Refrigeration towers,NULL,NULL,,NULL,,NULL,Other,1,hour(s),,"This page provides information on Planta Solar 20, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Abengoa Solar's Planta Solar 20 (PS20) is a 20-megawatt power tower plant being constructed next to the PS10 tower, and it will be the largest power tower in the world. The PS20 receiver has been significantly improved with respect to its predecessor PS10 receiver. For example, designing a natural circulation receiver and increasing incident solar radiation capture will increase net electrical power output by 10 percent. The 160-meter tower was designed to reduce the visual impact of its height. The plant has the capacity to generate more than 40 gigawatt-hours of energy each year, enough to supply power to 10,000 homes.",photo_ps-20.jpg,"Photo of the central tower of the power tower system. The tower contains a lozenge-shaped cut-out in the middle, which gives the tower a lighter, more architecturally designed appearance than a solid structure would have. Several much lower buildings flank the tower.",,Abengoa Solar,Published,0,NULL
40,Gemasolar Thermosolar Plant,Gemasolar,ES,  ,Andalucía (Sevilla),Fuentes de Andalucía,,37,33,44.95,North,5,19,49.39,West,Power tower,Operational,2017-03-20 00:00:00.000,,NULL,NULL,,NULL,,,,February,NULL,2009,April,NULL,2011,2100,Sener,,230000000,Euro,,80000,,,Sener,,Juan Ignacio Burgaleta,ignacio.burgaleta@torresolenergy.com,,,,,800,45,Torresol Energy,,Torresol O&M,,UTE C.T. Solar Tres,,195,hectares,Sener,,Molten salts (sodium and potassium nitrates),,19.9,19.9,,MW,Steam Rankine,NULL,,,,Wet cooling,,NULL,NULL,,NULL,,NULL,2-tank direct,15,hour(s),"One cold-salts tank (290ºC) from where salts are pumped to the tower receiver and heated up to 565ºC, to be stored in one hot-salts tank (565ºC). Annual equivalent hours = 5,000.","This page provides information on Gemasolar Thermosolar Plant, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Gemasolar is the first high-temperature solar receiver with molten salt, which provides 15 hours of thermal storage and an annual capacity factor of about 55%.",photo_gemasolar.jpg,"Computer-generated image of circular field of several thousand flat mirrors separated into curved rows and oriented such that they reflect sunlight onto the top of a tower at the center of the circle.  Several buildings are indicated in the foreground, and the background shows flat fields with groves of trees.",Computer-generated image of the Gemasolar CSP central receiver facility.,Lahmeyer International GmbH,Published,0,NULL
43,ISCC Ain Beni Mathar,,MA,  ,Ain Beni Mathar,Ain Beni Mathar,,34,3,50,North,2,6,0,West,Parabolic trough,Operational,2013-01-24 00:00:00.000,,NULL,NULL,,NULL,,25,,April,NULL,2008,May,NULL,2010,NULL,,Commercial,NULL,,,55000,,,Abener,http://www.abener.com,Mª José Mosquera,comunicacion@abener.abengoa.com,,,,,NULL,NULL,Abener,,Abengoa Solar / ONE,,Abener,,NULL,,,,Therminol VP-1,,20,20,,MW,Steam Rankine,NULL,,,,Wet cooling,,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on ISCC Morocco, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Integrated Solar Combined-Cycle (ISCC) technology combines the benefits of solar energy with the benefits of a combined cycle. The solar resource partially substitutes the fossil fuel. The project consist of a 470 MWe hybrid power plant composed of a combined cycle and a 20 MWe solar thermal system.",,,,,Published,0,NULL
44,ISCC Hassi R'mel,ISCC Hassi R'mel,DZ,  ,Hassi R'mel,Hassi R'mel,,33,7,27,North,3,21,25,East,Parabolic trough,Operational,2015-04-15 00:00:00.000,,NULL,NULL,,NULL,,25,,October,NULL,2007,July,14,2011,NULL,,Commercial,315000000,Euros,,NULL,,,Abener,http://www.abener.com,Mª Jose Mosquera,mariajose.mosquera@abener.abengoa.com,,,,,NULL,NULL,Abener,,Abener,,Abener,,64,hectares,,,Thermal oil,,20,20,,MW,Steam Rankine,NULL,,Siemens SST-900,,Dry cooling,Aero condensers,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on ISCC Hassi R'mel, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.  Integrated Solar Combined-Cycle (ISCC) technology combines the benefits of solar energy with the benefits of a combined cycle. The solar resource partially substitutes the fossil fuel. The project consists of a 150 MWe hybrid power plant composed of a combined cycle and a 20 MWe solar thermal plant.",,,,,Published,0,NULL
45,Martin Next Generation Solar Energy Center,MNGSEC,US,FL,South Florida,Indiantown,Martin,27,3,13,North,80,33,46,West,Parabolic trough,Operational,2012-08-23 00:00:00.000,,NULL,NULL,,NULL,,,,January,NULL,2009,December,10,2010,NULL,,,476300000,USD,FPSC filing,155000,Estimated,,Florida Power & Light Company,http://www.fpl.com/,John Gnecco,john_gnecco@fpl.com,,,Cindy Tindell,cindy_tindell@fpl.com,NULL,NULL,Florida Power & Light Co.,,Florida Power & Light Co.,,Lauren Engineers & Constructors,,500,acres,,,Thermal Oil,,75,75,,MW,Steam Rankine,NULL,,,,,,NULL,NULL,,NULL,,NULL,None,NULL,,,"The Martin Next Generation Solar Energy Center is the second largest solar facility in the world and the largest solar plant of any kind outside of California. The facility is the first hybrid facility in the world to connect a solar facility to an existing combined-cycle power plant, providing 75 megawatts of solar thermal capacity in an innovative way that directly displaces fossil fuel usage. The project consists of up to about 200,000 mirrors over about 500 acres at the existing FPL Martin Plant site.",,,,,Published,0,1
46,Puerto Errado 1 Thermosolar Power Plant,PE1,ES,  ,Murcia,Calasparra,,38,16,42.28,North,1,36,1.01,West,Linear Fresnel reflector,Operational,2011-09-07 00:00:00.000,April,1,2009,b1.2 R.D 661/2007,26.9375,Euro cents per kWh,25,Tariff rate is 21.5495 Euro cents per kWh beyond 25 years,March,14,2008,March,19,2009,2100,Client,Prototype,NULL,,,2000,Expected/Planned,"Following radiation estimation, own electrical consumers and equipment efficiency",Novatec Solar GmbH,http://www.novatecsolar.com,Jutta Glänzel (Novatec),jutta.glaenzel@novatecsolar.com,,,,,NULL,1,Novatec Solar GmbH,,Novatec Solar España S.L.,Power Support,Novatec Solar España S.L.,,5,hectares,,,Water,Novatec Solar España,1.4,NULL,,MW,NULL,55,bar,KKK-Siemens,,Dry cooling,Air-cooled condensers,NULL,NULL,"270ºC, 55 bar",NULL,,NULL,Single-tank thermocline,NULL,,Ruths tank,"This page provides information on Puerto Errado 1 Thermosolar, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. This plant, operated by Novatec Solar España, is a linear Fresnel reflector system.",photo_puerto_errado1.jpg,Photo showing an aerial view at an angle and looking length-wise down light gray-blue parallel rows of mirrors that extend into the distance. Two groups of 16 rows each are separated by a gap.  Various tanks and pipes in the foreground represent part of the power plant in this Fresnel concentrating solar power field.,,,published,0,NULL
47,Helios I,Helios I,ES,  ,Ciudad Real,Puerto Lápice,,39,14,24,North,3,28,12,West,Parabolic trough,Operational,2013-03-18 00:00:00.000,,NULL,NULL,Real Decreto 661/2010,27,Euro cents per kWh,25,,June,NULL,2010,June,NULL,2012,2217,Combination of meteo station and satellite methods,Commercial,NULL,,,97000,Expected/Planned,,"Helios I HYPERION Energy Investments, S.L.",,Contact person,rrhh@hyperion-st.com,,,,,600,40,"Helios I HYPERION Energy Investments, S.L.",,,,Abener/Teyma,,260,hectares,,,Thermal Oil,,50,50,,MW,Steam Rankine,100,bar,Siemens,Germany,Wet cooling,Cooling towers,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on Helios 1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.",,,,,Published,0,NULL
48,Helios II,Helios II,ES,  ,Ciudad Real,Puerto Lápice,,39,14,24,North,3,28,12,West,Parabolic trough,Operational,2015-08-19 00:00:00.000,,NULL,NULL,Real Decreto 661/2011,27,Euro cents per kWh,25,,August,NULL,2010,August,NULL,2012,2217,Combination of meteo station and satellite methods,Commercial,NULL,,,97000,Expected/Planned,,"Helios II HYPERION Energy Investments, S.L.",,Contact person,rrhh@hyperion-st.com,,,,,600,40,"Helios II HYPERION Energy Investments, S.L.",,,,Abener/Teyma,,260,hectares,,,Xceltherm®MK1,Radco Industries,50,50,,MW,Steam Rankine,100,bar,Siemens,Germany,Wet cooling,Cooling towers,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on Helios 2, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.",,,,,Published,0,NULL
50,EL REBOSO III 50-MW Solar Thermal Power Plant ,El Reboso III,ES,NULL,Utrera,Sevilla,Spain,37,4,20,North,5,56,57,West,Parabolic trough,Under contract,2009-08-27 00:00:00.000,NULL,NULL,NULL,Next Royal Decree,NULL,NULL,NULL,NULL,May,NULL,2010,November,NULL,2012,3622,DLR German Aerospace Center,Commercial plant,NULL,NULL,NULL,181120,Expected/Planned,Net generation,Bogaris ,http://www.bogaris.com/,Carlos M. Simón Luis,csimon@bogaris.com,NULL,NULL,Mónica Rubio,mrubio@bogaris.com,400,60,Bogaris,NULL,Bogaris ,NULL,NULL,NULL,242,hectares,NULL,NULL,Diphenyl / Biphenyl oxide,NULL,NULL,50,NULL,MW,Rankine,100,bar,NULL,NULL,Wet cooling,Cooling towers,34,NULL,NULL,17,Natural gas,0,Other,116,MWh,"28,500 tons of molten salt (60% sodium nitrate, 40% potassium nitrate). Tanks are 14 m high and 11,9 m in diameter. ","This page provides information on EL REBOSO III, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. EL REBOSO III is one of the first parabolic trough power plants in Europe with molten-salt storage. Located in southern Spain, Utrera (Sevilla), this power plant will be constructed beginning May 2010 and will begin operating in 2012. A two-tank indirect thermal storage system holds 28,500 tons of molten salt. Both EL REBOSO III and EL REBOSO II will help the Spanish power grid meet peak summer demand primarily caused by the high energy consumption of air conditioning units.",NULL,NULL,NULL,NULL,archived,0,NULL
51,Blythe Solar Power Project,,US,CA,,Blythe,Riverside,33,37,55,North,114,45,45,West,Parabolic trough,Under development,2011-03-08 00:00:00.000,January,1,2009,,NULL,,20,,December,1,2010,January,1,2013,NULL,,,6000000000,dollars,,525000,Expected/Planned,,,,Solar Millennium,info@SolarMillennium.de,,,,,1066,295,"Solar Millennium, LLC",Chevron Energy Solutions,,,,,7030,acres,,,,,1000,NULL,four 250 MW plants,MW,Steam Rankine,NULL,,,,Dry cooling,Air-cooled condenser (ACC),NULL,NULL,,NULL,,NULL,,0,,,"This page provides information on the Blythe Solar Power Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Solar Millennium LLC and Chevron Energy Solutions are proposing to construct a utility-scale thermal electric power generating facility, referred to as the Blythe Solar Power Project.  The BSPP will be located in the southern California inland desert, about eight miles west of the City of Blythe and two miles north of the Interstate-10 (I-10) freeway in Riverside County, California.",,,,,published,0,1
52,Ridgecrest Solar Power Project,NULL,US,CA,NULL,Ridgecrest,Kern,35,33,29,North,117,45,14,West,Parabolic trough,Under development,2009-11-18 00:00:00.000,NULL,NULL,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,500000,Expected/Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Solar Millennium, LLC",NULL,NULL,NULL,NULL,NULL,1440,acres,NULL,NULL,NULL,NULL,NULL,250,NULL,MW,Rankine,NULL,NULL,NULL,NULL,Dry cooling,Air-cooled condenser (ACC),NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"This page provides information on the Ridgecrest Solar Power Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Solar Millennium LLC is proposing to construct a utility-scale thermal electric power generating facility, referred to as the Ridgecrest Solar Power Project.  The Project will be located in the high northern Mojave Desert in northeastern Kern County, California, about five miles southwest of the City of Ridgecrest, California.",NULL,NULL,NULL,NULL,Published,0,1
53,Palen Solar Electric Generating System,,US,CA,,Desert Center,Riverside,33,50,56,North,115,14,22,West,Power tower,Under development,2013-04-04 00:00:00.000,,NULL,NULL,,NULL,,,,,NULL,2013,,NULL,2016,NULL,,,NULL,,,1430000,Expected/Planned,,,,SolarPACES,ezequiel@solarpaces.org,,,,,NULL,NULL,BrightSource Energy,,Abengoa Solar,,Abengoa Solar,,1537,hectares,,,,,500,500,Two 250-MW units,MW,Steam Rankine,NULL,,,,Dry cooling,Air-cooled condenser,NULL,NULL,,NULL,,NULL,None,NULL,,,"This page provides information on the Palen Solar Power Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.",,,,,archived,0,NULL
